breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,extracted_paragraph,extracted_image_url
Border Sheepdog,https://dogtime.com/dog-breeds/border-sheepdog,3,2,3,2,2,4,2,4,5,4,3,3,3,3,1,3,4,2,3,4,4,5,4,3,4,2,4,5,3,5,4,Mixed Breed Dogs,16 to 22 inches,25 to 45 pounds,12 to 15 years,"The Border Sheepdog is a mixed breed dog — a cross between the Border Collie and Shetland Sheepdog breeds. Energetic, intelligent, and playful, these pups inherited some of the best traits from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/11/border-sheepdog-mixed-dog-breed-pictures-cover.jpg?w=760
Border Terrier,https://dogtime.com/dog-breeds/border-terrier,3,4,3,3,1,4,3,4,5,4,2,5,3,3,1,2,4,5,2,4,3,5,5,5,1,4,5,4,4,5,5,Terrier Dogs,10 inches to 11 inches tall at the shoulder,11 to 15 pounds,12 to 15 years,"The alert, good-natured Border Terrier was originally bred to assist in foxhunts by driving foxes out of their hiding places and out into the open for the hounds to chase. Nowadays, they make great family members who adore their humans.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1176073607-e1691420229477.jpg?w=1024
Bordoodle,https://dogtime.com/dog-breeds/bordoodle,4,4,4,3,3,4,4,4,4,5,3,2,3,2,2,4,4,3,3,3,4,5,3,2,2,3,3,3,2,3,4,Mixed Breed Dogs,12 to 22 inches,30 to 60 pounds,12 to 15 years,"The Bordoodle, also called the Border Doodle, is a crossbreed who combines the unwavering determination of the Border Collie with the elegant sophistication of the Poodle. This unique Poodle mix has a striking appearance, with a well-muscled frame adorned with a coat that ranges from gently waved to delightfully curly. With their alert expression and an air of quiet confidence, the Bordoodle is a winning combination of two beloved breeds. ",https://dogtime.com/wp-content/uploads/sites/12/2019/09/GettyImages-1407404134-e1714356307229.jpg?w=1024
Borzoi,https://dogtime.com/dog-breeds/borzoi,4,5,3,5,1,4,3,4,4,3,4,4,4,5,1,4,4,2,5,4,3,4,3,5,2,4,2,2,2,2,3,Hound Dogs,"2 feet, 2 inches to 2 feet, 8 inches tall at the shoulder",55 to 105 pounds,10 to 12 years,"The Borzoi, also known as the Russian Wolfhound, is a member of the hound group. This ancient and noble canine exudes strength and agility with its long, slender body and distinctly shaped head. With its large, expressive eyes and keen awareness, the Borzoi Hound is always on alert, ready for action. Borzois are not the most playful dogs, but they do enjoy a good walk or run. They require moderate grooming and are relatively easy to train, which can be great for any new pet parent welcoming a Borzoi puppy to their home.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-494422742-e1690935653749.jpg?w=1024
BoShih,https://dogtime.com/dog-breeds/boshih,3,5,4,3,1,2,2,3,4,2,3,4,3,2,1,5,3,3,2,2,2,3,1,1,2,2,3,3,2,3,5,Mixed Breed Dogs,12 to 15 inches ,10 to 20 pounds,12 to 15 years ,"The BoShih is a mixed breed dog — a cross between the Shih Tzu and Boston Terrier breeds. Small, inquisitive and affectionate, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/12/boshih-mixed-dog-breed-pictures-cover.jpg?w=760
Bossie,https://dogtime.com/dog-breeds/bossie,3,2,2,3,5,3,3,4,4,4,4,4,3,2,1,3,3,3,3,4,4,4,3,3,3,5,5,4,4,5,5,Mixed Breed Dogs,15 to 23 inches,25 to 40 pounds,12 to 15 years ,"The Bossie is a relatively new dog breed who combines the lively personality of the Boston Terrier with the herding instincts and intelligence of the Australian Shepherd. These pups have a robust, compact build from their Boston Terrier parent along with the floppy ears, short muzzle, and expressive eyes that give them an adorably scrunched face. However, their coats take after the Australian Shepherd side with a medium-length double layer in a variety of colors and patterns like black, red, blue merle, or red merle. Bossies make engaging companions with their friendly, clownish antics tempered by the Aussie’s natural eagerness to please their owners.",https://dogtime.com/wp-content/uploads/sites/12/2019/11/Bossie-Collage-e1712325697464.png?w=1024
Boston Boxer,https://dogtime.com/dog-breeds/boston-boxer,3,4,3,3,2,3,3,4,4,4,4,2,4,3,3,4,4,4,3,3,3,4,3,3,3,2,4,4,3,4,5,Mixed Breed Dogs,15 to 23 inches,22 to 55 pounds,12 to 15 years,"The Boston Boxer is a mixed breed dog–a cross between the Boston Terrier and Boxer dog breeds. Friendly, intelligent, and playful, these pups inherited some of the best traits from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2020/01/boston-boxer-mixed-dog-breed-pictures-cover.jpg?w=760
Boston Terrier,https://dogtime.com/dog-breeds/boston-terrier,4,5,4,5,3,3,2,5,4,5,5,4,3,2,1,5,4,3,2,3,4,4,2,2,3,5,5,4,5,4,5,Companion Dogs,"1 foot to 1 foot, 3 inches tall at the shoulder",10 to 25 pounds,13 to 15 years,"The Boston Terrier is a compact, small dog breed with a short, smooth coat. Famous for their distinctive “tuxedo” markings, which are white with black, brindle, or seal (dark brown) coloring, Boston Terriers are friendly, affectionate dogs who make great companions. These charming pups are also highly adaptable and are suitable for apartment living. Boston Terrier puppies are also intelligent and easy to train.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-142527104-e1693833380980.jpg?w=1024
Bouvier des Flandres,https://dogtime.com/dog-breeds/bouvier-des-flandres,3,3,2,4,2,4,2,4,5,5,2,2,3,1,1,2,3,4,4,3,5,4,2,2,4,2,4,4,5,4,4,Herding Dogs,"1 foot, 11 inches to 2 feet, 4 inches tall at the shoulder",70 to 100 pounds,10 to 12 years,"The Bouvier des Flandres is a large working breed from Belgium who was originally bred to be a versatile farm dog. With a muscular build, the Bouvier de Flandres weighs 70 to 100 pounds and stands 23 to 26 inches at the shoulder. This athletic breed helped farmers with many tasks, including herding livestock (particularly cattle), pulling carts, and guarding. While the hard-working and intelligent Bouvier is still an ideal farm dog, they also make great service animals, law enforcement, and guard dogs.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1246925205-e1694459937398.jpg?w=1024
Boxador,https://dogtime.com/dog-breeds/boxador,2,2,2,3,1,2,2,4,5,4,4,4,4,4,2,5,2,4,4,4,5,5,3,2,3,3,5,5,5,5,5,Mixed Breed Dogs,23 to 25 inches,50 to 110 pounds,12 to 15 years,"The Boxador is a mixed breed of dog–a cross between the Boxer and Labrador Retriever dog breeds. Medium to large in size, intelligent, and totally devoted to their families, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/boxador-mixed-dog-breed-pictures-cover.jpg?w=760
Boxer,https://dogtime.com/dog-breeds/boxer,3,4,3,4,1,2,1,4,5,4,3,4,3,4,2,5,2,4,3,3,4,4,2,3,3,3,5,5,5,5,5,Working Dogs,21 to 25 inches at the shoulder,60 to 70 pounds,10 to 12 years,"Square-jawed and muscular, the Boxer is the George Clooney of the dog world–a looker with a sense of humor and an underlying sweetness. Medium to large in size, the Boxer is known for its muscular and athletic build. With a distinctive square-shaped head, strong jaws, and a short, shiny coat, Boxers exude an air of alertness and strength. Highly regarded for their intelligence, loyalty, and playful nature, Boxers make excellent companions as family pets and working dogs.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-463043655-1-e1692889076481.jpg?w=1024
Boxerdoodle,https://dogtime.com/dog-breeds/boxerdoodle,3,1,3,3,2,3,3,4,4,3,4,3,3,2,2,3,3,4,3,3,4,4,2,3,2,4,4,4,4,4,5,Mixed Breed Dogs,10 to 25 inches,12 to 70 pounds,10 to 12 years,"The Boxerdoodle, typically a medium-sized dog breed, is a mix between the Boxer and Poodle. Friendly, smart, and playful, these pups inherited some of the best qualities from both of their parents. Boxerdoodles are also sometimes known as Boxerpoos. Like other Poodle mixes, you can stil find these designer “doodle” dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these dogs to your home!",https://dogtime.com/wp-content/uploads/sites/12/2019/09/boxerdoodle-mixed-dog-breed-pictures-cover.jpg?w=760
Boxmatian,https://dogtime.com/dog-breeds/boxmatian,2,1,2,3,2,2,4,3,4,3,2,1,4,3,2,3,5,4,5,4,3,4,4,3,3,4,5,5,4,5,4,Mixed Breed Dogs,19 to 25 inches,50 to 90 pounds,10 to 13 years,"The Boxmatian is a mixed breed dog — a cross between the Boxer and Dalmatian dog breeds. Playful, goofy, and protective, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/09/boxmatian-mixed-dog-breed-pictures-cover.jpg?w=760
Boxweiler,https://dogtime.com/dog-breeds/boxweiler,3,2,3,4,2,3,2,4,5,4,4,2,3,3,2,3,3,4,4,3,4,4,2,2,3,1,4,4,3,4,4,Mixed Breed Dogs,21 to 27 inches,70 to 100 pounds,8 to 13 years,"The Boxweiler, a large dog breed, is a cross between the Boxer and Rottweiler. Loving, loyal, and bright, these pups inherited some of the best qualities from both of their parents. Boxweilers go by several other names, including Box Rotty, Boxer Rottie, and Boxie Rottie. ",https://dogtime.com/wp-content/uploads/sites/12/2019/12/boxweiler-mixed-dog-breed-pictures-cover.jpg?w=760
Boykin Spaniel,https://dogtime.com/dog-breeds/boykin-spaniel,3,1,3,4,3,3,4,4,5,5,4,3,3,4,1,1,2,4,3,4,4,4,4,2,3,4,5,5,5,5,4,Sporting Dogs,"1 foot, 2 inches to 1 foot, 6 inches tall at the shoulder",25 to 40 pounds,10 to 12 years,"Boykin Spaniels are friendly, confident, and adaptable dogs that make great companions for families and individuals. They are affectionate and loyal, and they love being around people. They are also patient and gentle with children, and they typically get along well with other dogs. While prized for their highly skilled hunting skills, these friendly dogs are loved for their charm, personality, and adaptability.",https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-514726067-e1689183365138.jpg?w=1024
Bracco Italiano,https://dogtime.com/dog-breeds/bracco-italiano,3,1,2,4,3,3,3,4,5,4,5,3,3,3,2,5,2,3,4,3,3,4,2,5,2,3,4,4,4,5,4,Sporting Dogs,22 to 26 inches,55 to 90 pounds,10 to 14 years,"The Bracco Italiano is a large-sized Sporting dog from Italy and one of the oldest pointing breeds. Tough and reliable, the Bracco Italiano has been a beloved hunting dog breed in their native Italy for thousands of years but only joined the American Kennel Club (AKC) in 2022. In recent years, the Italian Pointer gained notice as a family companion with a sweet and affectionate personality. Their long ears, droopy lips, soulful expression, and lean build give the gentle Bracco Italiano a distinctive and rugged look. Believed to be an ancient breed, this Italian favorite dates back to the fourth or fifth century B.C. The Bracco Italiano goes by several other names, including the Italian Pointer, The Italian Pointing Dog, and Bracco. ",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1226161054-e1694267703286.jpg?w=1024
Braque du Bourbonnais,https://dogtime.com/dog-breeds/braque-du-bourbonnais,2,1,3,3,2,2,3,4,5,4,4,4,3,2,1,4,4,1,3,3,4,4,3,4,3,2,4,5,2,5,3,Working Dogs,18 to 23 inches.,35 to 55 pounds.,12 to 15 years. ,"The Braque du Bourbonnais is an ancient purebred pointing dog originally from the country of France. Affectionate, calm, and intelligent, these pups have some of the best qualities of any dog breed out there today. This breed goes by several other names, including Bourbonnais Pointer, Bourbonnais Pointing Dog, French Pointing Dog, French Pointer, Braques Francaises, and Braque Bourbonnais.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/Screen-Shot-2023-09-26-at-11.00.02-AM.png?w=1024
Briard,https://dogtime.com/dog-breeds/briard,3,3,3,4,3,4,3,4,4,5,5,2,2,1,1,1,3,3,4,4,4,4,2,3,4,5,4,4,4,4,4,Herding Dogs,"1 foot, 10 inches to 2 feet, 3 inches tall at the shoulder",70 to 100 pounds,10 to 12 years,"The Briard is a remarkable and distinctive breed known for its striking appearance and versatile capabilities. Originating in France, this medium-to-large herding dog is characterized by its lush, double-layered coat. The coat ranges in color from solid black, fawn, or gray to various shades of tawny. Renowned for its intelligence and loyalty, the Briard excels in various roles. This includes herding livestock to serving as a faithful family companion and guardian. Their gentle yet protective nature makes them excellent with children and a natural watchdog. With their agility and trainability, Briards have also found success in dog sports and obedience competitions.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-136209560-e1694502979550.jpg?w=1024
Brittany,https://dogtime.com/dog-breeds/brittany,3,1,3,5,1,4,3,5,5,5,5,4,4,3,5,3,4,3,3,4,3,5,3,5,3,4,5,5,3,5,5,Sporting Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",30 to 40 pounds,10 to 13 years,"The Brittany, formerly known as Brittany Spaniel, is a compact yet energetic sporting dog breed, Originating from the Brittany region of northwestern France, this well-muscled gundog is a favorite of hunters for its endurance and versatility in the field.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-478873873-1-e1693194046688.jpg?w=1024
Broholmer,https://dogtime.com/dog-breeds/broholmer,3,2,4,3,3,3,3,4,5,4,3,3,4,3,2,4,4,3,5,3,4,4,3,2,3,2,3,3,3,3,3,Companion Dogs,22 to 30 inches.,90 to 150 pounds. ,8 to 12 years. ,"The Broholmer, also called the Danish Mastiff, is a large working dog from Denmark originally used for stag hunting. Despite their imposing appearance as a Mastiff-type breed, the Broholmer’s temperament is known to be calm, protective, and friendly. Powerfully built with a strong, muscled body and a large head, the Broholmer stands 27 to 30 inches tall at the shoulder and can easily weigh up to 150 pounds. Although first bred as a hunter, the Broholmer later became guardians of homes and farms. While relatively rare outside of Denmark, the Broholmer has increased in popularity in the United States. ",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1321452598-e1694301065136.jpg?w=1024
Brussels Griffon,https://dogtime.com/dog-breeds/brussels-griffon,3,5,2,5,1,1,2,4,5,4,4,3,3,3,3,3,3,3,1,3,3,4,3,1,4,5,4,5,3,4,5,Companion Dogs,7 inches to 8 inches tall at the shoulder,7 to 12 pounds,12 to 15 years,"The Brussels Griffon is a small and charming dog breed that originated in Belgium. They were originally bred as rat catchers in stables, but their adorable looks and delightful personality quickly endeared them to people as companion dogs. You can easily recognize a Brussels Griffon for their adorable, furry gargoyle appearance, which includes a short, pushed-in face with large, expressive eyes. They have a wiry and dense coat that can come in different colors, such as red, black, black and tan, or belge (a mix of black and reddish-brown). Their ears are may be cropped to stand upright, enhancing their alert and attentive expression.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-179861205-e1691003748400.jpg?w=1024
Bugg,https://dogtime.com/dog-breeds/bugg,3,5,4,3,2,2,3,3,4,3,2,3,3,2,2,4,4,4,2,3,3,4,4,3,4,2,3,4,3,2,4,Mixed Breed Dogs,14 to 18 inches,10 to 25 pounds,10 to 15 years,"The Bugg, a cross between the Boston Terrier and Pug, is an intelligent, loving, and spunky companion dog. The Bugg’s combination of unique Pug and Boston Terrier traits results in a dog with a comical, clownish appearance and an entertaining, affectionate personality. They are loyal and devoted to their families, and are also known for their playful, energetic, and sometimes mischievous natures. ",https://dogtime.com/wp-content/uploads/sites/12/2019/12/GettyImages-1171907078-e1713750330618.jpg?w=1024
Bull-Pei,https://dogtime.com/dog-breeds/bull-pei,2,4,2,3,3,1,1,2,3,2,2,2,4,4,3,4,3,4,3,2,3,2,4,2,2,1,2,2,2,2,2,Mixed Breed Dogs,16 to 18 inches,35 to 65 pounds ,9 to 11 years ,"The Bull-Pei is a mixed breed dog–a cross between the Chinese Shar-Pei and English Bulldog breeds. Medium in size, loving, and loyal, these pups inherited some of the best traits from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2020/03/bull-pei-mixed-dog-breed-pictures-cover.jpg?w=760
Bull Terrier,https://dogtime.com/dog-breeds/bull-terrier,3,4,4,5,2,1,4,5,5,5,4,5,3,3,1,5,4,5,2,4,5,4,4,4,1,5,5,4,5,5,5,Terrier Dogs,"1 foot, 9 inches to 1 foot, 10 inches tall at the shoulder",35 to 75 pounds,10 to 15 years,"The English Bull Terrier, also called the Bull Terrier, is a medium-sized terrier breed from the United Kingdom known for their unique “egg-shaped” head and glossy coat. Perhaps one of the most iconic-looking dog breeds, they can immediately be recognized for their muscular build and sloped foreheads, a hallmark of their appearance. To the outside eye, these Pit Bull dogs also can have a somewhat imposing appearance, but these pups are just as goofy and comical as can be.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-171949422-e1688480338712.jpg?w=1024
Bullador,https://dogtime.com/dog-breeds/bullador,2,2,2,4,2,2,2,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,2,4,4,3,4,4,4,4,4,Mixed Breed Dogs,17 to 20 inches ,50 to 90 pounds,10 to 12 years ,"The Bullador is a mixed breed dog–a cross between the Labrador and English Bulldog breeds. These pups fall into the medium-to-large size range. Active and loyal, Bulladors inherited some of the best traits from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2020/02/bullador-mixed-dog-breed-pictures-cover.jpg?w=760
Bullboxer Pit,https://dogtime.com/dog-breeds/bullboxer-pit,2,1,2,3,2,2,2,3,4,4,2,2,4,4,4,4,4,4,3,4,2,4,4,5,4,3,5,5,5,5,4,Mixed Breed Dogs,16 to 20 inches,50 to 80 pounds,10 to 14 years,"The Bullboxer Pit is a mixed breed dog — a cross between the Boxer and American Pit Bull Terrier dog breeds. Powerful, faithful, and energetic, these pups inherited some of the best traits from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/07/bullboxer-pit-mixed-dog-breed-pictures-cover.jpg?w=760
Bulldog,https://dogtime.com/dog-breeds/bulldog,3,5,4,4,3,1,1,4,5,4,2,5,4,3,5,5,4,5,2,2,3,2,2,2,4,1,3,2,3,3,4,Companion Dogs,"1 foot to 1 foot, 3 inches tall at the shoulder",40 to 50 pounds,8 to 12 years,"The English Bulldog, commonly referred to as Bulldog, is a beloved dog breed, known for its unique characteristics and charming traits. Dating back to the 13th century, this breed has evolved from their bull-baiting past to become gentle and affectionate companions. Bulldogs have distinctive features, including a wrinkled face and pushed-in nose, giving them an adorable appearance. Their strong, muscular body and loose, saggy skin exude confidence and power.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-168620477-e1691273341205.jpg?w=1024
Bullmastiff,https://dogtime.com/dog-breeds/bullmastiff,3,3,2,4,2,4,2,4,5,5,4,3,4,1,5,5,2,5,5,3,3,3,3,3,4,3,4,2,4,3,5,Working Dogs,24 to 27 inches at the shoulder,100 to 130 pounds,8 to 10 years,"The Bullmastiff is a large, muscular dog bred in England in the late 1800s as a guard dog to protect gamekeepers and their property from poachers. Bullmastiffs have a gentle and loyal nature, however, they can also be very protective of their family and home.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1352427667-e1690999364784.jpg?w=1024
Bullmatian,https://dogtime.com/dog-breeds/bullmatian,2,2,1,3,3,2,2,4,4,5,4,3,3,2,3,4,4,4,3,3,1,4,3,3,2,3,4,5,4,4,4,Mixed Breed Dogs,11 to 24 inches,41 to 65 pounds,8 to 12 years,"The Bullmatian is a mixed breed dog — a cross between the Bulldog and Dalmatian dog breeds. Loving, energetic, and friendly, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/07/bullmation-mixed-dog-breed-pictures-cover.jpg?w=760
Cairn Terrier,https://dogtime.com/dog-breeds/cairn-terrier,4,5,4,3,1,4,4,5,5,5,4,4,3,3,1,5,4,3,1,4,2,5,3,4,4,3,5,5,4,4,5,Terrier Dogs,9 inches to 10 inches tall at the shoulder,13 to 14 pounds,12 to 15 years,"The Cairn Terrier dog breed is a small working terrier developed on the Isle of Skye in Scotland. If you’re a fan of The Wizard of Oz, you already know the breed. Farmers used them to rid their property of vermin, and they needed a dog with courage, tenacity, and intelligence — characteristics still found in today’s Cairn.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-510060506-e1689725025862.jpg?w=1024
Canaan Dog,https://dogtime.com/dog-breeds/canaan-dog,4,4,4,4,3,3,5,3,4,2,3,2,3,4,1,5,5,2,3,3,5,4,3,3,3,2,4,4,3,3,4,Herding Dogs,"1 foot, 7 inches to 2 feet tall at the shoulder",35 to 55 pounds,12 to 15 years,"The Canaan Dog, a pariah breed, boasts an ancient lineage that has thrived in Israel’s desert for millennia. Many believe it’s the same breed that Hebrews used in biblical times to herd and safeguard their flocks and settlements, a role it continues to fulfill among Bedouins and Druse communities today.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/download-e1694642126180.jpg?w=1024
Cane Corso,https://dogtime.com/dog-breeds/cane-corso,2,1,1,3,1,3,4,3,4,2,3,2,4,3,4,5,3,4,4,4,4,5,2,5,3,2,4,4,3,5,2,Working Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",90 to 120 pounds,10 to 12 years,"The Cane Corso, also known as the Italian Mastiff, is a large working dog originally bred as guardians of farms and livestock. These powerful dogs possess a loyal and protective nature. However, their imposing stature and past association with dog fighting have unfortunately led to misconceptions about their temperament.",https://dogtime.com/wp-content/uploads/sites/12/2014/08/GettyImages-1141876630-e1691880224156.jpg?w=1024
Cardigan Welsh Corgi,https://dogtime.com/dog-breeds/cardigan-welsh-corgi,4,4,4,4,3,4,3,4,5,4,3,3,3,4,1,3,4,4,2,3,4,5,2,4,2,3,3,3,3,3,4,Herding Dogs,10 inches to 1 foot tall at the shoulder,25 to 38 pounds,12 to 15 years,"The Cardigan Welsh Corgi, the older of the two Corgi breeds, is a herding dog believed to have existed in Wales for over 3,000 years. Throughout history, farmers relied on these speedy, hardworking, and versatile dogs to drive cattle to market. These days, they mostly love to spend time with their families.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1446223089-1-e1695252647170.jpg?w=1024
Catahoula Bulldog,https://dogtime.com/dog-breeds/catahoula-bulldog,2,1,1,2,3,1,5,3,4,3,2,1,3,1,1,5,4,3,4,3,2,3,4,5,3,3,5,5,5,5,4,Mixed Breed Dogs,24 to 26 inches,75 to 100 pounds,10 to 14 years,"The Catahoula Bulldog is a fierce and affectionate hybrid breed resulting from the crossbreeding of the Catahoula Leopard Dog and the American Bulldog. Known for their striking appearance and versatile nature, they are a capable companion for various roles. With their muscular build, intelligent demeanor, and protective instincts, the Catahoula Bulldog has gained popularity among dog owners seeking a loyal and hardworking canine companion.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-485256453-e1710520093615.jpg?w=1024
Catahoula Leopard Dog,https://dogtime.com/dog-breeds/catahoula-leopard-dog,2,1,1,2,2,3,3,3,5,3,1,1,3,3,1,5,3,3,4,3,2,3,3,1,3,3,4,4,3,5,2,Herding Dogs,"1 foot, 8 inches to 2 feet, 2 inches tall at the shoulder",50 to 90 pounds,10 to 14 years,"The Catahoula Leopard Dog, or Catahoula Cur, is a medium to large herding dog from Louisiana originally bred to hunt hogs. Because they were bred to work in swamps and forests, they are tough dogs that require a firm and consistent leader with time to keep them occupied. Interestingly, Catahoulas are named after the Catahoula Parish in Louisiana, where they were first bred. ",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-621482340-e1694712115798.jpg?w=1024
Caucasian Shepherd Dog,https://dogtime.com/dog-breeds/caucasian-shepherd-dog,3,2,1,2,3,5,2,3,4,2,2,2,4,4,4,2,3,4,5,3,2,4,4,3,3,2,3,2,4,2,3,Working Dogs,24 to 34 inches,80 to 220 pounds,10 to 12 years,"Loyal, strong, and courageous, the Caucasian Shepherd Dog is a fierce family protector. They were bred to care for flocks and defend the home against wild predators in the rough Caucasus Mountain region. They’re also known as Caucasian Mountain Dogs, Russian Bear Dogs, Baskhan (Karachay) Pariy, Caucasian Ovcharka Dogs, or just CO, and there are many variants and types. This massive breed is highly territorial and won’t back down from a fight, even against bears or wolves. Caucasian Shepherd Dogs are intelligent, but their stubborn, independent nature can make them difficult to train. Their natural distrust of strangers and other animals can also lead to aggressive tendencies if an experienced trainer doesn’t keep them in check.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-153484492-e1694628785728.jpg?w=1024
Cav-a-Jack,https://dogtime.com/dog-breeds/cav-a-jack,3,4,4,3,1,3,3,4,4,4,4,4,3,2,2,4,3,4,2,4,4,4,3,4,3,3,4,4,3,4,5,Mixed Breed Dogs,10 to 17 inches,13 to 18 pounds,12 to 17 years,"The Cav-a-Jack is a mixed breed dog–a cross between the Cavalier King Charles Spaniel and Jack Russell Terrier dog breeds. Energetic, friendly, and playful, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/10/cav-a-jack-mixed-dog-breed-pictures-cover.jpg?w=760
Cavachon,https://dogtime.com/dog-breeds/cavachon,4,5,5,5,1,3,3,5,5,5,5,5,3,2,1,2,4,4,2,3,4,4,3,4,3,2,4,4,3,4,5,Mixed Breed Dogs,12 to 13 inches ,15 to 35 pounds ,10 to 15 years ,"The Cavachon, a sweet and social hybrid breed, is the charming result of crossing a Cavalier King Charles Spaniel with a Bichon Frise. Combining the affectionate nature of the Cavalier with the playful demeanor of the Bichon, Cavachons are beloved for their sweet temperament, intelligence, and irresistible appearance. Sporting a soft, fluffy coat in a variety of colors, including white, apricot, and cream, these small-sized dogs have expressive eyes and floppy ears, contributing to their cuteness.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-1312201921-e1711910928881.jpg?w=1024
Cavador,https://dogtime.com/dog-breeds/cavador,3,3,5,4,2,3,3,4,5,5,4,3,3,3,2,4,4,4,3,3,4,4,2,3,3,3,4,4,3,4,5,Mixed Breed Dogs,18 to 24 inches,22 to 55 pounds,10 to 14 years,"The Cavador is a mixed breed dog — a cross between the Cavalier King Charles Spaniel and Labrador Retriever dog breeds. Friendly, loving, and intelligent, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/cavador-mixed-dog-breed-pictures-cover.jpg?w=760
Cavalier King Charles Spaniel,https://dogtime.com/dog-breeds/cavalier-king-charles-spaniel,4,5,5,5,1,3,2,5,5,5,5,5,3,3,1,4,4,4,2,3,4,4,3,3,3,2,4,3,2,4,5,Companion Dogs,12 to 13 inches at the shoulder,13 to 18 pounds,9 to 15 years,"Cavalier King Charles Spaniels are renowned for their affectionate and loving personalities. They thrive on human interaction and make excellent companions for individuals and families alike. Their warm and gentle nature makes them well-suited for households with children and other pets, as they are typically friendly and patient. Another distinctive aspect of Cavalier King Charles Spaniels is their beautiful appearance. With expressive eyes, long, silky ears, and soft, wavy coats, they possess an undeniable charm that captures hearts. ",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-114508551.jpg?w=1024
Cavapoo,https://dogtime.com/dog-breeds/cavapoo,3,3,3,3,2,4,3,5,5,5,4,4,3,2,1,3,3,4,2,3,4,4,3,3,2,3,3,3,2,3,5,Mixed Breed Dogs,9 to 14 inches,9 to 25 pounds,12 to 15 years,"The Cavapoo is a cross between a Cavalier King Charles Spaniel and a Poodle. Cavapoos go by several names, including Cavadoodle, Cavapoodle, and Cavoodle. Outgoing, playful, and curious, these pups inherit some of the best traits from their parent breeds. Like many other hybrid dog breeds, the exact origin and timeline of the Cavapoo dog’s development are not well-documented, but they’ve quickly become a rising star in the designer dog world, especially within the “doodle dog” group.",https://dogtime.com/wp-content/uploads/sites/12/2024/04/GettyImages-1369953080-e1713359571514.jpg?w=1024
